image_ID,tf2_ssim,ski_ssim,tf2_psnr
185_5_CM,0.9615640640258789,0.982421938235601,33.8067512512207
186_1_CM,0.9636656641960144,0.9830633150972656,34.30015563964844
186_2_CM,0.9616095423698425,0.9821712251162982,33.86610794067383
186_3_CM,0.9628250598907471,0.9828049619180091,34.341217041015625
186_4_CM,0.9642035365104675,0.9835195692208187,33.927494049072266
186_5_CM,0.9628543853759766,0.9826454852183368,33.974971771240234
188_1_CM,0.964570939540863,0.9840377118048993,35.066688537597656
188_2_CM,0.9641697406768799,0.983872421882914,35.014034271240234
188_3_CM,0.9632979035377502,0.9833392895582227,34.904144287109375
188_4_CM,0.9640695452690125,0.9837239165103377,34.91205596923828
188_5_CM,0.9646735191345215,0.9840541636625768,35.216304779052734
191_1_CM,0.9570873975753784,0.9798875500578579,32.748451232910156
191_2_CM,0.9588469862937927,0.9805831673771301,32.700897216796875
191_3_CM,0.9597243070602417,0.9810345621611145,32.22713088989258
191_4_CM,0.9596805572509766,0.9812894036272952,33.3018913269043
191_5_CM,0.9525359869003296,0.9770900392496591,31.07743263244629
194_1_CM,0.9593303799629211,0.9807876118442147,33.103981018066406
194_2_CM,0.9587879180908203,0.9805498441498877,33.666873931884766
194_3_CM,0.9377838373184204,0.9665336990171925,26.308134078979492
194_4_CM,0.9026343822479248,0.9369770964391242,18.149375915527344
194_5_CM,0.959836483001709,0.9811498685260648,30.627212524414062
196_1_CM,0.9513258934020996,0.976464390645865,31.33449935913086
196_2_CM,0.9589470624923706,0.9811071883535555,33.450439453125
196_3_CM,0.9572803378105164,0.9803895598185816,33.07448196411133
196_4_CM,0.9502004981040955,0.9750827090131126,27.72074317932129
196_5_CM,0.9127762317657471,0.9445019039594579,20.01848793029785
197_1_CM,0.9644443988800049,0.9834318292632007,32.981170654296875
197_2_CM,0.9662449955940247,0.9846339914511402,34.0400276184082
197_3_CM,0.9646451473236084,0.9837396060828155,33.57033157348633
197_4_CM,0.963706910610199,0.9832968333434366,33.861141204833984
197_5_CM,0.9652637243270874,0.9840088409883745,33.78300476074219
199_1_CM,0.9553123712539673,0.9785398052110532,31.468149185180664
199_2_CM,0.9629953503608704,0.9830841388053255,33.9308967590332
199_3_CM,0.9602877497673035,0.9814789074104696,32.484764099121094
199_4_CM,0.9633040428161621,0.9831728063191755,33.5922737121582
199_5_CM,0.9626365303993225,0.9828839028028736,33.72267150878906
200_1_CM,0.9569163918495178,0.9800970523602469,33.64533615112305
200_2_CM,0.9564475417137146,0.9798280679462842,33.80023193359375
200_3_CM,0.9559117555618286,0.9795587396589935,33.67243957519531
200_4_CM,0.9541323781013489,0.9786210266114447,33.25322341918945
200_5_CM,0.9556177258491516,0.9795868068062673,33.63249969482422
201_1_CM,0.9669946432113647,0.9854440588650143,35.27093505859375
201_2_CM,0.966994047164917,0.9854774542824476,35.32582092285156
201_3_CM,0.9676558971405029,0.9857947224988992,35.71424865722656
201_4_CM,0.9672055840492249,0.9856518459366505,35.658897399902344
201_5_CM,0.968022346496582,0.9858960350532772,35.748836517333984
202_1_CM,0.9570832252502441,0.9797003534222182,32.02872848510742
202_2_CM,0.9630737900733948,0.9832338137340195,34.33932876586914
202_3_CM,0.9622098803520203,0.9822769336943535,33.164329528808594
202_4_CM,0.9667648077011108,0.9851869314012268,35.07742691040039
202_5_CM,0.9654510617256165,0.9846063294968468,35.04722213745117
204_1_CM,0.955824077129364,0.978756229998843,32.632354736328125
204_2_CM,0.9553887844085693,0.9789925942868414,33.50806427001953
204_3_CM,0.9567536115646362,0.9794245734218023,32.94357681274414
204_4_CM,0.9562413692474365,0.9793337309042874,33.35250473022461
204_5_CM,0.9583067297935486,0.9801834706968265,33.56935119628906
129_1_CM,0.9593868255615234,0.9808099078198742,32.34062957763672
129_2_CM,0.9554956555366516,0.9784109518575383,31.09014320373535
129_3_CM,0.9532888531684875,0.9771017584597044,31.173969268798828
129_4_CM,0.9577812552452087,0.9793059630228699,31.429121017456055
129_5_CM,0.9558728933334351,0.9787124213352217,32.0112190246582
131_1_CM,0.9652016162872314,0.9845216016642436,35.271446228027344
131_2_CM,0.9647992253303528,0.9841611846663494,35.06938934326172
131_3_CM,0.9649328589439392,0.9843732276704282,35.18229293823242
131_4_CM,0.9661346077919006,0.9848605376694497,35.42015075683594
131_5_CM,0.9608752131462097,0.9823338692016342,34.71256637573242
136_1_CM,0.9697195887565613,0.9867479436450642,35.91529846191406
136_2_CM,0.9695636630058289,0.9867097689189036,35.96287155151367
136_3_CM,0.9694594144821167,0.9866110902468994,35.8717155456543
136_4_CM,0.9661411046981812,0.9845832589815645,34.26760482788086
136_5_CM,0.9649802446365356,0.9841031252966589,34.53321838378906
141_1_CM,0.9634711742401123,0.9834166771107035,34.37195587158203
141_2_CM,0.9644883871078491,0.9835195698318207,34.1759033203125
141_3_CM,0.9624581933021545,0.982461028529566,34.01906967163086
141_4_CM,0.9605043530464172,0.9811599500094629,33.15104675292969
141_5_CM,0.9580051898956299,0.9796438861456155,32.14306640625
160_1_CM,0.9642724990844727,0.9833813079379394,33.92820358276367
160_2_CM,0.9631711840629578,0.9831015674310394,34.340065002441406
160_3_CM,0.9630542993545532,0.9826685604053343,32.27542495727539
160_4_CM,0.9627273082733154,0.9825420188503678,33.677650451660156
160_5_CM,0.96064293384552,0.9814498211494981,33.72399139404297
171_1_CM,0.9687137603759766,0.986252141921272,35.73127365112305
171_2_CM,0.9657729864120483,0.9848045176192374,35.46465301513672
171_3_CM,0.9696757793426514,0.9867576803755251,35.75702667236328
171_4_CM,0.9673717021942139,0.9856023279222672,35.37064743041992
171_5_CM,0.969057559967041,0.9864797236793575,35.96131134033203
172_1_CM,0.9682901501655579,0.9860024570594729,35.66533279418945
172_2_CM,0.9660102725028992,0.9849391384785164,35.720977783203125
172_3_CM,0.9686316251754761,0.9861902237137644,35.50461196899414
172_4_CM,0.9692966938018799,0.9864941839673202,35.9437255859375
172_5_CM,0.9691241979598999,0.9864088806504712,35.788185119628906
176_1_CM,0.9623485207557678,0.9825603575994408,33.82185363769531
176_2_CM,0.9610210657119751,0.9818726946555898,33.910301208496094
176_3_CM,0.9622563719749451,0.9826711781189799,34.45444107055664
176_4_CM,0.9639732241630554,0.9832236415233551,33.670249938964844
176_5_CM,0.964389979839325,0.9837808424617112,34.50336456298828
183_1_CM,0.9592598080635071,0.980087491212525,30.772506713867188
183_2_CM,0.9661813974380493,0.9849734960502502,35.30351638793945
183_3_CM,0.9679962992668152,0.9858150907317073,35.63390350341797
183_4_CM,0.9684427976608276,0.9860197949039751,35.51350402832031
183_5_CM,0.9670706391334534,0.9854873486918342,35.69459915161133
192_1_CM,0.9570197463035583,0.9796529770340625,33.59395980834961
192_2_CM,0.9565240144729614,0.97948040397922,33.38397979736328
192_3_CM,0.9586727619171143,0.9804324878176879,32.59450912475586
192_4_CM,0.9572198987007141,0.9794301827269569,32.66693878173828
192_5_CM,0.9537450671195984,0.9781926464317908,33.104122161865234
193_1_CM,0.9646032452583313,0.9842237411220567,33.93144607543945
193_2_CM,0.9665479063987732,0.98504574255648,34.983489990234375
193_3_CM,0.9649304747581482,0.9843528122518949,34.0247688293457
193_4_CM,0.9661047458648682,0.9850167249282314,34.18494415283203
193_5_CM,0.9660555124282837,0.98495294110135,34.362266540527344
123_1_CM,0.964147686958313,0.9832033453774437,33.873226165771484
123_2_CM,0.9651741981506348,0.9840115588969534,34.416812896728516
123_3_CM,0.9652304649353027,0.9838695984875161,34.145416259765625
123_4_CM,0.9673197269439697,0.9850616755986695,34.92928695678711
123_5_CM,0.9655843377113342,0.9841278530489121,34.55390548706055
143_1_CM,0.9607840180397034,0.9813287532529598,32.653846740722656
143_2_CM,0.9638407230377197,0.9831072222170657,33.64020538330078
143_3_CM,0.9600967764854431,0.9808904978357642,32.11770248413086
143_4_CM,0.9626635313034058,0.9824955714188657,33.11900329589844
143_5_CM,0.9635668992996216,0.9830136586903211,33.04222106933594
148_1_CM,0.964181661605835,0.9836048550276727,32.918399810791016
148_2_CM,0.964336097240448,0.9837558529416609,33.83069610595703
148_3_CM,0.9631514549255371,0.9831301998160911,33.310943603515625
148_4_CM,0.9654334187507629,0.9840952564467266,33.24811935424805
148_5_CM,0.9590713977813721,0.9795237752370909,27.61035919189453
155_1_CM,0.9583723545074463,0.9803219743616133,33.475746154785156
155_2_CM,0.9576649069786072,0.9799485454890285,33.2158203125
155_3_CM,0.9587600827217102,0.9805389192356887,33.75178146362305
155_4_CM,0.9588111042976379,0.9803858973421291,33.51473617553711
155_5_CM,0.958966076374054,0.9804358325776296,33.716644287109375
190_1_CM,0.9662148952484131,0.9850201838585312,35.46369934082031
190_2_CM,0.9668517708778381,0.9853636612959977,35.48822784423828
190_3_CM,0.9672256112098694,0.985535171750872,35.403602600097656
190_4_CM,0.9668262600898743,0.9852991477371376,35.329429626464844
190_5_CM,0.967349648475647,0.9856938421519027,35.67367935180664
